round,timestamp,avg_time_ns,max_time_ns,min_time_ns,stdev_time_ns,suspicious_count
171,1762785753.2650802,63.12890625,760,50,45.64546864926226,4
172,1762785753.316566,74.61328125,630,60,36.93835430815913,4
173,1762785753.3680637,74.57421875,580,60,33.75485962653175,4
174,1762785753.4196618,76.171875,520,60,41.08567984389809,6
175,1762785753.4711056,75.046875,620,60,37.75470039559027,8
176,1762785753.5226405,78.4765625,1190,60,71.16690846379458,2
177,1762785753.5741541,76.83984375,580,60,33.70718394329694,3
178,1762785753.6256945,76.484375,600,60,42.02874541520923,4
179,1762785753.6772447,74.53125,580,60,34.31936228211387,5
180,1762785753.7287428,77.38671875,650,60,38.34480893075717,4
181,1762785753.7802913,75.82421875,730,60,43.24653856005669,4
182,1762785753.8317928,63.015625,530,50,37.59192328251417,5
183,1762785753.883212,62.109375,700,50,41.60792427825616,3
184,1762785753.934707,76.171875,870,60,51.405669844452596,3
185,1762785753.9861603,61.1328125,510,50,29.873687312205888,2
186,1762785754.0376534,64.4921875,820,50,53.26713972065337,4
187,1762785754.089142,73.71484375,580,60,34.36757384134347,7
188,1762785754.1406376,74.37890625,580,60,33.92449783429113,4
189,1762785754.1921616,69.84375,680,50,44.77366829453467,7
190,1762785754.2437286,76.3359375,580,60,41.42013857898065,4
191,1762785754.2951949,75.70703125,760,60,45.66987368202755,3
192,1762785754.34669,74.296875,570,60,33.57598567020022,6
193,1762785754.3981655,61.0625,580,50,34.19740845587629,4
194,1762785754.4496238,63.4765625,860,50,52.67755630935712,4
195,1762785754.5011,74.26171875,610,60,36.23839718806288,3
196,1762785754.5525777,63.203125,500,50,35.55572469833134,7
197,1762785754.6040747,73.4765625,620,60,36.49366635217034,6
198,1762785754.6555908,73.79296875,590,60,34.39094884024506,4
199,1762785754.7070312,62.5,760,50,46.060488788667676,5
200,1762785754.7585876,76.640625,590,60,43.182736996510585,4
201,1762785754.8117626,62.2265625,820,50,48.91091779860567,2
202,1762785754.863308,75.62890625,790,60,46.42048846562534,3
203,1762785754.914812,77.6171875,600,60,34.99279950442466,4
204,1762785754.9663513,61.91796875,500,50,35.96072352779011,4
205,1762785755.017832,76.2109375,670,60,39.40859911013749,3
206,1762785755.0693307,78.63671875,1000,60,59.36940569620508,3
207,1762785755.120949,114.296875,930,60,70.15594499147637,13
208,1762785755.1724672,74.92578125,610,60,36.13642938641032,3
209,1762785755.2239654,75.4296875,730,60,43.239086093215136,2
210,1762785755.2754498,75.4296875,570,60,33.145711246247345,4
211,1762785755.3269956,76.41015625,590,60,42.36544714897216,7
212,1762785755.3785386,74.3828125,580,60,33.68274617227465,4
213,1762785755.4302454,281.33984375,51712,60,3227.4419211879776,1
214,1762785755.4819024,127.1171875,1410,90,90.55849554401883,8
215,1762785755.533404,63.83203125,770,50,50.745106103987034,5
216,1762785755.5849023,76.3671875,660,60,39.05358231541207,5
217,1762785755.6363704,62.2265625,880,50,52.648701057473545,3
218,1762785755.6878543,73.3203125,580,60,33.994101816834835,5
219,1762785755.73942,82.26953125,1370,60,85.78272604448141,4
220,1762785755.7908905,61.18359375,721,50,43.591884974863895,3
221,1762785755.8425584,126.9921875,1400,100,99.16482583972771,5
222,1762785755.8940904,75.859375,760,60,44.93179744422236,2
223,1762785755.9456952,84.6875,1210,60,89.72670925059704,6
224,1762785755.9971955,77.19140625,970,60,57.903964478508996,2
225,1762785756.0488198,77.19140625,1210,60,72.46261026655165,2
226,1762785756.1003792,76.375,820,60,48.891155621842444,4
227,1762785756.1519134,73.3984375,920,50,65.64740513889782,10
228,1762785756.203425,75,560,60,32.79167756683179,6
229,1762785756.254901,65.3515625,1430,50,86.88889365555458,3
230,1762785756.3063874,65.3125,1080,50,67.59669907244137,3
231,1762785756.3579166,64.73046875,700,50,46.60944961598347,4
232,1762785756.409376,61.83984375,730,50,43.45899277835168,3
233,1762785756.4608436,62.62109375,740,50,43.96621903295667,2
234,1762785756.5123694,76.44921875,901,60,52.95626533851251,2
235,1762785756.5640562,81.13671875,1530,60,96.75419056322117,5
236,1762785756.6156478,68.7109375,1100,50,67.34385307189237,3
237,1762785756.6671727,63.6015625,750,50,49.39958558907705,3
238,1762785756.718624,64.0234375,1000,50,60.66157679709458,3
239,1762785756.770095,64.609375,940,50,56.57412065115091,3
240,1762785756.8216343,75.671875,620,60,44.15154106519242,6
241,1762785756.8731742,62.42578125,640,50,38.83977089670874,6
242,1762785756.9246774,73.83203125,580,60,34.00356252061153,5
243,1762785756.9761848,76.37109375,980,60,58.18461982931033,2
244,1762785757.0277302,76.25390625,610,60,43.94151621674508,5
245,1762785757.0792344,64.7734375,690,50,41.090472125661975,3
246,1762785757.1306818,65.39453125,770,50,46.15282169453615,2
247,1762785757.1822562,67.5390625,810,50,53.407409685489576,3
248,1762785757.2337492,77.19140625,690,60,41.29196005366577,4
249,1762785757.2851713,60.98046875,660,50,39.489631418681704,3
250,1762785757.3366146,61.52734375,540,50,32.03575261275574,4
251,1762785757.389955,62.65625,530,50,37.08991459555929,4
252,1762785757.4416192,91.33203125,1040,50,64.9689753212194,7
253,1762785757.493153,61.640625,710,50,42.569939568925406,3
254,1762785757.5446978,88.28125,960,60,61.12807993764196,13
255,1762785757.5963395,90.5078125,1050,60,77.88463022317048,7
256,1762785757.6478987,95.203125,1070,70,66.84226200687765,6
257,1762785757.6993535,60.19921875,670,50,39.54004373051178,2
258,1762785757.7508688,75.78515625,830,60,49.42941823086892,2
259,1762785757.8024378,79.84765625,730,60,55.39077075363163,4
260,1762785757.853911,74.73046875,780,60,46.391868893021055,2
261,1762785757.905539,80.5859375,760,60,59.72525689584357,4
262,1762785757.9570286,76.01953125,680,60,41.24175032628332,6
263,1762785758.008563,76.484375,570,60,40.922496689402,3
264,1762785758.0600896,75.1953125,810,60,47.95382723588001,2
265,1762785758.1115842,75.47265625,730,60,43.46437840995458,2
266,1762785758.163053,62.6953125,940,50,56.59765928697675,3
267,1762785758.2145953,77.3046875,580,60,41.935535699592116,4
268,1762785758.2660909,75.12109375,790,60,47.07970905060073,3
269,1762785758.3175855,77.58203125,780,60,46.4962270172348,3
270,1762785758.3691483,78.515625,790,60,53.417920819757505,4
271,1762785758.42064,74.92578125,620,60,36.97320650670232,4
272,1762785758.472082,61.5234375,530,50,31.765430672105072,4
273,1762785758.5235407,61.87890625,510,50,30.03901032897252,3
274,1762785758.5751088,77.4609375,790,60,53.27875673397088,4
275,1762785758.6265814,76.015625,600,60,35.310162815246485,4
276,1762785758.678107,79.9609375,1170,60,74.88290491513675,5
277,1762785758.7296727,76.1015625,610,60,40.49455830665375,5
278,1762785758.7812102,76.0546875,680,60,48.938345940901726,5
279,1762785758.832663,73.3671875,651,50,39.43918049774023,2
280,1762785758.8841424,74.9609375,630,60,37.43750920651954,3
281,1762785758.9355874,79.06640625,1050,60,62.57099093230025,3
282,1762785758.9871457,79.1015625,1000,60,65.81892449044143,3
283,1762785759.0386605,69.375,800,50,47.835502444498765,2
284,1762785759.0903873,93.98828125,1200,70,74.70120782402148,10
285,1762785759.1420088,96.72265625,1120,70,68.84513193075982,9
286,1762785759.1935723,96.6796875,1140,70,71.69865408464108,7
287,1762785759.2451758,103.2109375,1360,70,94.55162734106239,6
288,1762785759.2968318,99.84765625,1600,70,97.93024845834276,5
289,1762785759.3484423,80.46875,1000,50,62.07976368208508,4
290,1762785759.4003987,656.4296875,142145,50,8878.264201205622,1
291,1762785759.452001,88.08984375,1090,60,67.54887652637525,5
292,1762785759.5035474,101.7578125,1360,70,88.50188841177899,13
293,1762785759.5550804,86.4453125,810,60,51.42156541477401,12
294,1762785759.6065688,63.7109375,740,50,48.844475448741846,3
295,1762785759.658036,74.02734375,580,60,34.72857266273949,6
296,1762785759.7094963,62.93359375,810,50,48.49491063225493,2
297,1762785759.7610333,76.64453125,950,60,57.26781433065858,3
298,1762785759.8125815,63.4375,1090,50,68.93517841805743,3
299,1762785759.8640814,73.6328125,580,60,34.974583733805055,7
300,1762785759.9155874,95.31640625,8271,50,515.1931880985159,2
301,1762785759.968908,118.4375,1190,90,76.1982707847641,6
302,1762785760.020434,75.625,630,60,43.92953359152163,6
303,1762785760.0720396,118.01171875,1020,90,60.47164186604735,3
304,1762785760.1236165,63.59765625,710,50,47.818593421787675,4
